video_id,comment,likes,published_at,label
zkQwpXhanhM,"Biarlah yg sakit hati ttp sakit, maju terus Prabowo Gibran bangun Indonesia jgn pedulikan nyinyiran yg tdk berguna anggap saja hembusan angin yg lewat sj.",0,2025-07-05T08:47:27Z,1.0
SzXMacu80o8,login,0,2025-04-21T18:20:04Z,0.0
zkQwpXhanhM,"Tetap semangat ms Gibran 
Anak muda harus tampil 😊",0,2025-06-30T15:43:51Z,1.0
kJks8qSH3ko,"Belum kapok guys...😂
Emang beliau makin di hujat makin merasa tengil...😂",4,2025-04-24T01:11:18Z,-1.0
kJks8qSH3ko,"Mantap mas wapres GIBRAN.. ini saatnya timnas kita menuju panggung dunia. tetep dukung timnas kita, saya percaya mas wapres GIBRAN pasti akan terus mensupport timnas kita sampai nama timnas indonesia harum di mata dunia. terus buat video dukungan seperti ini mas wapres supaya timnas kita tambah semangat. buat para pembenci dan penyinyir, smoga kalian cepat sadar dan kembali ke jalan yg benar. semangat timnasku, terima kasih mas wapres gibran.. jaya selalu Indonesia 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩👍👍👍👍👍👍👍",1,2025-04-24T01:03:36Z,1.0
ZhL1ABVBqB8,"Anak muda harus siap ambil peran, karena hilirisasi butuh inovasi dan tenaga muda.",0,2025-04-26T14:27:38Z,1.0
zkQwpXhanhM,Luar biasa Pak Wapres! 🔥,0,2025-06-30T07:39:07Z,1.0
zkQwpXhanhM,"Dengan landasan hukum yang kuat, inovasi digital di Indonesia dapat berkembang tanpa harus bertabrakan dengan kepastian hukum dan perlindungan konsumen.",0,2025-06-30T13:04:19Z,0.0
ZhL1ABVBqB8,"Para hatters sibuk menghina, mencaci maki, merendahkan  ...  Biarkan anjing menggonggong, khafilah berlalu, biarkan hatters waras pada waktunya   .. Semangat mas, smoga channelnya makin maju, tetep bekerja untuk bangsa dan negara",0,2025-04-26T01:08:30Z,1.0
SzXMacu80o8,"Kapan Rakyat Indonesia bisa memiliki pemerintah yang benar"" bekerja untuk Rakyat Indonesia? Para pejabat publik saat ini kerjanya hanya memperkaya diri, korupsi luar biasa di saat gajinya tinggi sekali. Bonus demografi bisa jadi masalah jika Pemerintah Indonesia tidak serius membenahi bidang pendidikan, kesehatan, lapangan pekerjaan. Terus terang skrg kami cemas, Pak. Bapak baca buku yang banyak ya, jangan mainan muluk tinggal terima beres. Bangun Pak! Sadar!",0,2025-04-22T21:12:08Z,0.0
QIShOVUCVtM,Semangat pak wapres ❤,0,2025-06-09T07:16:55Z,1.0
72Ko6qkf9TQ,"mas wapers mas wapres, likenya kok... 😂",0,2025-05-10T21:28:00Z,0.0
ZhL1ABVBqB8,support Pak Wapres,0,2025-04-26T16:22:38Z,1.0
2-IroIlDrnE,Pembangunan harus sampai ke pelosok.,0,2026-01-19T04:33:39Z,1.0
ZhL1ABVBqB8,Di gw 290rb x d tonton like 51rb,0,2025-04-27T19:28:42Z,0.0
SzXMacu80o8,Voters 58% nggak ada yg bantu like kah ?,0,2025-04-22T04:53:24Z,0.0
ULJErSG7F8Y,"Top, keren, Brilliant,  calm Wise dan Humble itulah Wapres Gibran ❤",0,2025-05-04T19:31:54Z,1.0
SzXMacu80o8,"Potensi dari generasi muda nya sih ada, tapi dari sisi pemerintah belum ada willingness buat ngasih PRIORITAS dan platform ke generasi muda buat maksimalin potensi nya.

Diliat dari program strategis nasional aja malah sebagian besar APBN yang di fokusin bukan ke hal yang bersifat menyerap tenaga kerja usia muda (Makan Bergizi Gratis) dan pembangunan Sovereign Wealth Fund - Danantara.

Padahal kalo mau bener-bener ngejar Bonus Demografi ya prioritas utama nya pengutamaan pada:
-UMKM
-Industri (pangan, kesehatan, energi, jasa keuangan, pariwisata, olahraga, kreatif, dll)

dan juga ngebenarin permasalahan bersifat teknis yang menghambat growth kayak regulasi tidak sinkron

Itu dulu aja deh kalo mau optimalin ""Bonus Demografi"".",0,2025-04-23T01:37:23Z,0.0
zkQwpXhanhM,Blockchain = trustless tapi justru bikin makin percaya,0,2025-06-30T08:25:21Z,0.0
ULJErSG7F8Y,Laut kita bukan hanya luas—ia menyimpan kekayaan yang bisa mengubah nasib bangsa.,0,2025-05-01T15:01:59Z,1.0
zkQwpXhanhM,"Pemerintah harus meningkatkan kesadaran masyarakat tentang pentingnya keamanan digital dan cara melindunginya, nice !!",0,2025-06-30T09:55:05Z,1.0
SzXMacu80o8,Semangat pak wapres 🔥🔥,0,2025-05-06T05:24:22Z,1.0
SzXMacu80o8,Ga tau malu bgsad,0,2025-04-24T04:24:48Z,-1.0
zkQwpXhanhM,"pak makan siang gratis blom dapat di sma negeri 21 meda, sedangkan kami pulang jam 4 sore pak mohon perhatianya pak sesuai kebijakan gubernur sumatra utara yaitu pak boby nasution sekolah hanya 5 hari dan pulangnya jam 4 sore mohon pak perhatianya di sma negeri 21 medan",0,2025-07-21T10:25:50Z,0.0
SzXMacu80o8,Kereen mas wapres 👍 lanjutkan...jgn hiraukan komentar binataaaaaaang biadab,0,2025-04-23T15:14:44Z,1.0
SzXMacu80o8,Tolong pendidikan gratiskan dari SD sampai Perguruan tinggi baru kita bisa manfaatkan bonus demografi,0,2025-04-20T08:59:23Z,1.0
ZhL1ABVBqB8,Moga2 ada tutor biar like auto banyak bagi Youtuber yg baru memulai jadi youtuber ...,0,2025-04-28T05:00:29Z,0.0
ZhL1ABVBqB8,"enak ya jadi pemimpin/wakil pemimpin,bisa pake uang rakyat buat beli like,kalo ada kasus pembunuhan langsung kaget, giliran ada korupsi 271 Triliun gk peduli udh kek memanfaatkan bukan membantu😢😢",1,2025-05-08T07:28:57Z,0.0
9gTdNSPimhs,Mantap 🎉🎉,9,2025-05-26T14:15:14Z,1.0
kJks8qSH3ko,"Siap mas gubran terus gasss indonesia banga memuliki mas gibran disaat indonesia kehilangan generasi muda ...

Bersama mas gibran indonesia punya mimpi besar ada damai dan kepercayaan tinggi ..

Kita sepakat indonesia jangan jatuh di tangan yang salah .politik kepentingan sediri.",0,2025-04-27T07:59:42Z,1.0
ZhL1ABVBqB8,"Mantap pak prabowo dan pak gibran,lanjutkan indonesia maju indonesia raya tanah air ku❤️❤️❤️❤️🇮🇩🇮🇩🇮🇩🇮🇩💪💪💪💪",1,2025-04-26T02:59:45Z,1.0
SzXMacu80o8,"terimakasih sudah mengedepankan anak muda, dan bonus demografi keren ❤",0,2025-04-22T12:45:58Z,1.0
SzXMacu80o8,Bagaimana cara melihat jumlah yg dislike?,0,2025-04-22T13:03:01Z,0.0
SzXMacu80o8,Terimakasih pak Gibran telah memprioritaskan suara generasi muda seperti kami,1,2025-04-22T09:20:56Z,1.0
zkQwpXhanhM,Keren mas wapres maju trus 👍🔥🔥💯🎉🎉❤️❤️,0,2025-07-02T04:13:37Z,1.0
QIShOVUCVtM,"🌏🇲🇨Selamat Merayakan Hari Raya Idul Adha 10 Dzulhijjah 1446H/2025M,Di Lebaran Idul Adha Inilah Kita Semua Tnp Terkcli,Bs Belajar Apa Itu Pengorbanan,Jgn Asal Makan Daging Korbannya Sj,Krn Tdk Akan Ada Kemiskinan Klu Btl2 Ikhlas Dlm Pengorbanan Dlm Bentuk Apapun,Sampai Disini Apa Sdh Jelas & Paham🇲🇨🌏Firman Draviansyah Bsrt Slrh Klrg Besar Adlan{Koto} & Siregar🙏🏻🇲🇨🌏",5,2025-06-06T09:03:55Z,0.0
SzXMacu80o8,Di tunggu diskusi sama mahasiswa ya kak,0,2025-04-23T00:05:14Z,0.0
SzXMacu80o8,Gila keren banget sumpah cuma orang terpilih yang bisa kayak gini,1,2025-04-20T23:48:02Z,1.0
zkQwpXhanhM,Mantap .....❤❤❤👍👍👍🙏🙏🙏,9,2025-06-27T01:59:10Z,1.0
SzXMacu80o8,Mantap mas gibran,0,2025-04-29T11:12:29Z,1.0
ZhL1ABVBqB8,hilirisasi untuk indonesia lbih maju❤,0,2025-04-26T09:20:49Z,1.0
ITtcwmpwWtk,WAPRES GIBRAN adalah wapres terbaik sepanjang masa di dunia,2,2025-05-16T15:01:26Z,1.0
ULJErSG7F8Y,Hilirisasi bisa membuat nelayan lebih sejahtera,1,2025-05-01T09:18:20Z,1.0
SzXMacu80o8,Kapan collab dgn Giberan E FISERY bahas topik = cara jadi kaya dengan ilmu bayangan.....,0,2025-04-21T11:08:09Z,0.0
zkQwpXhanhM,Yuk mulai dari hal kecil di sekitar kita,0,2025-06-30T08:36:27Z,1.0
72Ko6qkf9TQ,"Transformasi pertanian,, perbanyak beasiswa jurusan pertanian,, lebih bagus bikin kampus khusus pertanian yg lebih modern. Karena krisis petani lebih bahaya dari krisis pangan..!",0,2025-05-11T05:28:10Z,0.0
ULJErSG7F8Y,Mantabb boss.. bekerja d lapangan jgn sperti sblum2nya yg banyk GK d akui bahkan oleh masyarakat nya sendiri,0,2025-04-30T17:42:06Z,1.0
kJks8qSH3ko,"Sehat selalu mas Gibran, anda dan keluarga sdh banyak di fitnah dan di hina oleh pembenci dan orang"" yg tidak bermanfaat di negeri ini. Terus lah bekerja dan berkarya untuk bangsa ini. Doa kami selalu menyertaimu dan keluarga. Love you ❤❤❤",3,2025-04-29T01:02:15Z,1.0
72Ko6qkf9TQ,Next presiden❤,0,2025-05-11T05:07:08Z,1.0
kJks8qSH3ko,Next konten Boleh dong pake bahasa khas fufufafa🤣,3,2025-04-22T11:17:51Z,-1.0
SzXMacu80o8,Keren pak wapress,0,2025-04-22T05:43:49Z,1.0
2-IroIlDrnE,"Harapannya bukan cuma bangun, tapi juga dirawat dan berkelanjutan.",0,2026-01-19T09:31:21Z,1.0
SzXMacu80o8,Ayo Para ASN like videonya yuk,0,2025-04-23T13:54:04Z,1.0
zkQwpXhanhM,pak gibran tahu banget kalo UMKM digital perlu sistem yang aman dan transparan,0,2025-06-30T07:57:17Z,1.0
SzXMacu80o8,"bjir, wapres dongo",0,2025-04-20T05:03:53Z,-1.0
ULJErSG7F8Y,Lanjutken ✌️🇲🇨👍👍👍,0,2025-04-30T18:20:58Z,1.0
2-IroIlDrnE,"Mantapp pak wapress, semogaa berjalan dengan lancar",0,2026-01-19T04:49:08Z,1.0
ZhL1ABVBqB8,Maju terus mas Gibran😊,0,2025-04-26T16:56:33Z,1.0
SzXMacu80o8,"video ini keren mas, sangat menginspirasi saya sebagai anak muda, semangat mas gibran",0,2025-04-22T17:39:11Z,1.0
ZhL1ABVBqB8,"SEAKARANG PERTANYAAN NYA ADALAH Di saat krisis tarif trump sekarang kenapa kita gk punya kekuatan sama sekali sedangkan kita penghasil nikel terbesar di dunia kenapa kita gk membuat nikel itu menjadi sebuah produk yg mana seperti batre, mobil listrik dll? Karena pejabat gk ngedukung kan? Kalau alasannya sdm tidak mendukung kenapa tidak di perbanyak riset di kampus² dan malah kena efisiensi. Contoh nya aja deh mobil tucuxi dan selo yg mana di gagalkan pemerintah dengan cara tidak lulus uji emisi logika aja deh mobil listrik yg mana menghasilkan emisi yg sangat kecil.

TOLONG JAWAB",1,2025-04-30T16:47:41Z,0.0
g8XZK4trgqM,"𝚂𝚎𝚖𝚘𝚐𝚊 𝙸𝙽𝙳𝙾𝙽𝙴𝚂𝙸𝙰 𝚋𝚒𝚜𝚊 𝚕𝚎𝚋𝚒𝚑 𝚔𝚊𝚢𝚊 𝚍𝚊𝚛𝚒 𝙰𝚖𝚎𝚛𝚒𝚔𝚊 𝚜𝚎𝚛𝚒𝚔𝚊𝚝 𝚍𝚊𝚗 𝙲𝚑𝚒𝚗𝚊. 𝚂𝚒𝚊𝚙𝚊𝚙𝚞𝚗 𝚘𝚛𝚊𝚗𝚐𝚗𝚢𝚊, 𝚜𝚒𝚊𝚙𝚊𝚙𝚞𝚗 𝚝𝚒𝚖 𝚗𝚢𝚊, 𝚔𝚎𝚕𝚘𝚖𝚙𝚘𝚔𝚗𝚢𝚊, 𝚢𝚊𝚗𝚐 𝚖𝚎𝚗𝚊𝚖𝚋𝚊𝚑 𝚔𝚎𝚔𝚊𝚢𝚊𝚊𝚗 𝙸𝚗𝚍𝚘𝚗𝚎𝚜𝚒𝚊 𝚖𝚎𝚗𝚒𝚗𝚐𝚔𝚊𝚝 𝚙𝚎𝚜𝚊𝚝, 𝚁𝚄𝙿𝙸𝙰𝙷 𝚕𝚎𝚋𝚒𝚑 𝚃𝚒𝚗𝚐𝚐𝚒 𝚍𝚊𝚛𝚒 𝚖𝚊𝚝𝚊 𝚞𝚊𝚗𝚐 𝚗𝚎𝚐𝚊𝚛𝚊 𝚖𝚊𝚗𝚊𝚙𝚞𝚗 𝚍𝚒 𝙳𝚞𝚗𝚒𝚊, 𝙻𝚊𝚗𝚓𝚞𝚝𝚔𝚊𝚗 𝚙𝚎𝚛𝚋𝚞𝚊𝚝𝚊𝚗 𝚖𝚞𝚕𝚒𝚊 𝚔𝚊𝚕𝚒𝚊𝚗 𝚜𝚎𝚖𝚞𝚊, 𝚖𝚎𝚗𝚓𝚊𝚍𝚒𝚔𝚊𝚗 𝙸𝙽𝙳𝙾𝙽𝙴𝚂𝙸𝙰 𝙽𝚎𝚐𝚊𝚛𝚊 𝚢𝚊𝚗𝚐 𝚜𝚊𝚗𝚐𝚊𝚝 𝚍𝚒 𝚌𝚒𝚗𝚝𝚊𝚒 𝚜𝚎𝚕𝚞𝚛𝚞𝚑 𝙳𝚄𝙽𝙸𝙰.

 𝙱𝚎𝚋𝚊𝚜𝚔𝚊𝚗 𝙸𝚗𝚍𝚘𝚗𝚎𝚜𝚒𝚊 𝚍𝚊𝚛𝚒 𝚙𝚎𝚕𝚊𝚗𝚐𝚐𝚊𝚛𝚊𝚗 𝚑𝚞𝚔𝚞𝚖, 𝚋𝚞𝚕𝚢𝚒𝚗𝚐, 𝙽𝚊𝚛𝚔𝚘𝚋𝚊, 𝚖𝚊𝚔𝚜𝚒𝚊𝚝, 𝚔𝚘𝚛𝚞𝚙𝚜𝚒, 𝚙𝚎𝚕𝚊𝚌𝚞𝚛𝚊𝚗, 𝚔𝚎𝚖𝚒𝚜𝚔𝚒𝚗𝚊𝚗, 

𝙹𝚊𝚍𝚒𝚔𝚊𝚗 𝚜𝚎𝚕𝚞𝚛𝚞𝚑  𝚁𝚊𝚔𝚢𝚊𝚝 𝙸𝙽𝙳𝙾𝙽𝙴𝚂𝙸𝙰 𝚔𝚊𝚢𝚊 𝚛𝚊𝚢𝚊,

𝚍𝚎𝚗𝚐𝚊𝚗 𝚖𝚎𝚗𝚓𝚊𝚍𝚒𝚔𝚊𝚗 𝚜𝚎𝚕𝚞𝚛𝚞𝚑 𝚛𝚊𝚔𝚢𝚊𝚝 𝙸𝚗𝚍𝚘𝚗𝚎𝚜𝚒𝚊 𝚔𝚊𝚢𝚊 𝚛𝚊𝚢𝚊 𝚜𝚎𝚕𝚞𝚛𝚞𝚑 𝚛𝚊𝚔𝚢𝚊𝚝 𝙸𝚗𝚍𝚘𝚗𝚎𝚜𝚒𝚊 𝚝𝚒𝚍𝚊𝚔 𝚋𝚞𝚝𝚞𝚑 𝚙𝚎𝚕𝚊𝚌𝚞𝚛𝚊𝚗, 𝚐𝚊𝚢, 𝚕𝚎𝚜𝚋𝚒𝚊𝚗, 𝚍𝚊𝚗 𝚙𝚎𝚗𝚢𝚒𝚖𝚙𝚊𝚗𝚐𝚊𝚗 𝚔𝚎𝚕𝚊𝚒𝚊𝚗𝚊𝚗 𝚖𝚎𝚗𝚝𝚊𝚕, 𝚔𝚎𝚕𝚊𝚒𝚗𝚊𝚗 𝚓𝚒𝚠𝚊 𝚕𝚊𝚒𝚗𝚗𝚢𝚊, 𝚔𝚊𝚛𝚎𝚗𝚊 𝚊𝚍𝚊𝚗𝚢𝚊 𝚙𝚎𝚕𝚊𝚌𝚞𝚛𝚊𝚗, 𝚐𝚊𝚢, 𝚕𝚎𝚜𝚋𝚒𝚊𝚗, 𝚍𝚊𝚗 𝚙𝚎𝚗𝚢𝚒𝚖𝚙𝚊𝚗𝚐𝚊𝚗 𝚑𝚞𝚔𝚞𝚖 𝚕𝚊𝚒𝚗𝚗𝚢𝚊 𝚍𝚒 𝚜𝚎𝚋𝚊𝚋𝚔𝚊𝚗  𝚔𝚎𝚝𝚒𝚍𝚊𝚔 𝚝𝚎𝚛𝚜𝚎𝚍𝚒𝚊𝚊𝚗 𝚊𝚗𝚐𝚐𝚊𝚛𝚊𝚗 𝚜𝚎𝚜𝚎𝚘𝚛𝚊𝚗𝚐 𝚞𝚗𝚝𝚞𝚔 𝚖𝚎𝚗𝚌𝚞𝚔𝚞𝚙𝚒 𝚔𝚎𝚋𝚞𝚝𝚞𝚑𝚊𝚗 𝚖𝚊𝚗𝚞𝚜𝚒𝚊 𝚙𝚊𝚍𝚊 𝚔𝚎𝚑𝚒𝚍𝚞𝚙𝚊𝚗𝚗𝚢𝚊, 𝚔𝚎𝚕𝚞𝚊𝚛𝚐𝚊, 𝚋𝚊𝚑𝚔𝚊𝚗 𝚍𝚒𝚛𝚒𝚗𝚢𝚊 𝚜𝚎𝚗𝚍𝚒𝚛𝚒, 𝚜𝚎𝚜𝚎𝚘𝚛𝚊𝚗𝚐 𝚖𝚎𝚖𝚎𝚛𝚕𝚞𝚔𝚊𝚗 𝚙𝚎𝚛𝚗𝚒𝚔𝚊𝚑𝚊𝚗, 𝚔𝚎𝚝𝚞𝚛𝚞𝚗𝚊𝚗, 𝚍𝚊𝚗 𝚔𝚎𝚋𝚎𝚛𝚕𝚊𝚗𝚓𝚞𝚝𝚊𝚗 𝚑𝚒𝚍𝚞𝚙 𝚢𝚊𝚗𝚐 𝚕𝚎𝚋𝚒𝚑 𝚋𝚊𝚒𝚔.

𝚂𝙴𝙼𝙾𝙶𝙰 𝚃𝚄𝙷𝙰𝙽 𝙼𝙴𝙽𝙹𝙰𝙳𝙸𝙺𝙰𝙽 𝚂𝙴𝙻𝚄𝚁𝚄𝙷 𝚁𝙰𝙺𝚈𝙰𝚃 𝙸𝙽𝙳𝙾𝙽𝙴𝚂𝙸𝙰 𝙼𝙰𝙽𝚄𝚂𝙸𝙰 𝚈𝙰𝙽𝙶 𝚂𝙴𝙷𝙰𝚃 𝙺𝙰𝚈𝙰 𝙳𝙰𝙽 𝙱𝙰𝙷𝙰𝙶𝙸𝙰.

𝓽𝓮𝓻𝓾𝓼 𝓶𝓮𝓻𝓾𝓫𝓪𝓱 𝓭𝓲𝓻𝓲 𝓶𝓮𝓷𝓳𝓪𝓭𝓲 𝓵𝓮𝓫𝓲𝓱 𝓴𝓪𝔂𝓪 𝓭𝓪𝓻𝓲 𝓴𝓮𝓶𝓪𝓻𝓲𝓷, 

𝚙𝚎𝚛𝚔𝚊𝚢𝚊 𝚍𝚒𝚛𝚒 𝚍𝚎𝚗𝚐𝚊𝚗 𝚒𝚕𝚖𝚞 𝚍𝚊𝚗 𝚙𝚎𝚗𝚐𝚎𝚝𝚊𝚑𝚞𝚊𝚗 𝚝𝚎𝚛𝚞𝚜 𝚋𝚎𝚕𝚊𝚓𝚊𝚛 𝚝𝚎𝚛𝚞𝚜 𝚖𝚎𝚗𝚒𝚛𝚞 𝚍𝚊𝚗 𝚖𝚘𝚍𝚒𝚏𝚒𝚔𝚊𝚜𝚒 𝚜𝚎𝚕𝚞𝚛𝚞𝚑 𝚑𝚊𝚕 𝚖𝚎𝚗𝚓𝚊𝚍𝚒 𝚕𝚎𝚋𝚒𝚑 𝚋𝚊𝚒𝚔, 𝚕𝚎𝚋𝚒𝚑 𝚎𝚏𝚒𝚜𝚒𝚎𝚗, 𝚕𝚎𝚋𝚒𝚑 𝚋𝚎𝚛𝚔𝚞𝚊𝚕𝚒𝚝𝚊𝚜, 𝚖𝚊𝚖𝚙𝚞 𝚖𝚎𝚖𝚙𝚎𝚛𝚋𝚊𝚒𝚔𝚒 𝚢𝚊𝚗𝚐 𝚛𝚞𝚜𝚊𝚔 𝚍𝚊𝚗 𝚖𝚎𝚖𝚙𝚎𝚛𝚝𝚊𝚑𝚊𝚗𝚔𝚊𝚗 𝚏𝚞𝚗𝚐𝚜𝚒𝚗𝚢𝚊 𝚍𝚎𝚗𝚐𝚊𝚗 𝚋𝚊𝚒𝚔. 𝙿𝚞𝚕𝚒𝚑𝚕𝚊𝚑 𝙸𝙽𝙳𝙾𝙽𝙴𝚂𝙸𝙰 𝚃𝙴𝚁𝙲𝙸𝙽𝚃𝙰 ❤ 𝚁𝙸🇲🇨",0,2025-11-27T08:20:57Z,1.0
zkQwpXhanhM,Salut! Pemerintah makin visioner dalam membangun ekosistem digital yang inklusif.,0,2025-06-30T10:18:29Z,1.0
NNKNeZZ5WP0,Saya sangat percaya klw mas gibran akan memajukan indonesia.semangat mas gibran.,4,2025-05-02T16:12:43Z,1.0
ZhL1ABVBqB8,"Jangan di rumah aja pak.... n pidato dgn baca texs....!!
Mainlah ke kampus, berani berdiskusi n brainstorming dengan para wahasiswa..... 🎉🎉😂😂",0,2025-04-27T07:42:11Z,0.0
QIShOVUCVtM,"Terimakasih pak jokowi yg membuat ekonomi syariah berkembang pesat.  Alhamdulillah dilanjutkan prabowo gibran, semoga target2 tercapai",2,2025-06-07T00:14:50Z,1.0
SzXMacu80o8,SUDAH BERAPA BANYAK DISLIKE ???,0,2025-04-23T13:56:21Z,0.0
kJks8qSH3ko,"mundur dari wapres le, dan jadi youtuber sama deddy corebuzzer saja
kowe iku suwung 😭",5,2025-04-22T10:21:22Z,-1.0
72Ko6qkf9TQ,Pak wapres memang baik hati,0,2025-05-11T00:33:02Z,1.0
SzXMacu80o8,"Mas, ngapain si?",0,2025-04-23T07:35:30Z,0.0
NNKNeZZ5WP0,Nyimak,0,2025-05-02T14:41:52Z,0.0
ULJErSG7F8Y,mendingan teks nya saja yg diupload..,0,2025-05-01T15:22:49Z,0.0
ZhL1ABVBqB8,Pemerintah perlu memperkuat regulasi yang mendukung hilirisasi,0,2025-04-26T14:48:13Z,0.0
zkQwpXhanhM,keren bgt si teknologi ini bakalan bisa lebih maju dan amann,0,2025-06-30T08:33:21Z,1.0
72Ko6qkf9TQ,Bismillah indonesia jaya,0,2025-05-10T23:42:58Z,1.0
kJks8qSH3ko,❤❤❤,0,2025-04-22T04:48:48Z,1.0
SzXMacu80o8,Katanya harus pake AI. Tapi skrng puji film jumbo yang bikinnya ga pake AI. Gimana sih,0,2025-04-26T13:03:33Z,0.0
kJks8qSH3ko,"Jd inget kemarin nonton indo vs bahrain, pas rombongan pejabat negara masuk lapangan buat ngasih ucapan selamat (berasa paling berjasa) malah dicemooh 1 stadion. 😂",5,2025-04-22T18:01:15Z,-1.0
ZhL1ABVBqB8,speed 1.75 baru terdengar seperti manusia yang ngomong. gak seperti baca naskah sepotong demi sepotong,0,2025-04-26T19:41:15Z,0.0
ZhL1ABVBqB8,Tantangan terbesar korupsi,0,2025-04-27T23:16:56Z,0.0
2-IroIlDrnE,Semoga semua berjalan lancar,0,2026-01-19T04:40:56Z,1.0
SzXMacu80o8,Alah,0,2025-04-23T12:07:33Z,0.0
ULJErSG7F8Y,Wakil presiden Gibran Raka bumi sangat cerdas dan sangat baik untuk Indonesia menuju rakyat Indonesia merdeka makmur rakyat Indonesia cocok bersama dengan presiden perabowo membangun rakyat Indonesia menuju bahagia makmur rakyat Indonesia,0,2025-05-15T07:48:47Z,1.0
SzXMacu80o8,Optimistis menatap masa depan... Itu yang jadi harapan kita sebagai bangsa. Satukanlah semangat untuk meraihnya teman. 👍,0,2025-04-21T04:19:07Z,1.0
ZhL1ABVBqB8,"smua kesini pasti gara"" trend anomali ini video mari dislike",0,2025-04-29T04:54:40Z,-1.0
zkQwpXhanhM,"Dengan blockchain, integritas data publik bisa lebih terjamin dan meminimalisir potensi manipulasi informasi.",0,2025-06-30T16:17:03Z,1.0
zkQwpXhanhM,"Mantap Mas wapresku 
Tehnologi Bloc Chain akan bisa menjaga uang negara dari para naling3 uang negara ,
Para purnawirawan yg mau gulingkan mas wapres pasti nyungsep ,
Otaknya Tidak akan bisa mengimbangi kemampuan dan intelektual mas Wapres,
Semoga Allah sll melindungi mas Wapres.
❤❤❤",0,2025-07-07T11:17:04Z,1.0
ULJErSG7F8Y,Semangat mas wapres,1,2025-04-30T22:49:29Z,1.0
72Ko6qkf9TQ,Langkah besar untuk Indonesia yang mandiri pangan.,0,2025-05-10T16:09:57Z,1.0
ZhL1ABVBqB8,Views nya aja 300 rb,0,2025-04-28T12:22:54Z,0.0
SzXMacu80o8,"Banyak yang merasa terancam oleh anak ini,terutama para jenderal konglomerat...he..he.. lanjut undang undang perampasan aset koruptor.",0,2025-05-05T07:22:47Z,1.0
QIShOVUCVtM,Mana buktiiii nyata mu,0,2025-06-11T06:34:06Z,0.0
ULJErSG7F8Y,Ayo bergerak dari ekspor mentah ke produk jadi,0,2025-05-01T15:47:21Z,1.0
72Ko6qkf9TQ,Salut! Pemimpin yang turun langsung ke isu pangan itu luar biasa,0,2025-05-10T16:36:11Z,1.0
ULJErSG7F8Y,"Update 
Like 6.659
Dislike 10.385",1,2025-05-02T05:03:41Z,0.0
zkQwpXhanhM,Luar biasa! Inovasi digital yang aman dan merata.,0,2025-06-30T11:38:19Z,1.0
